Sources,C,1C,CC,2C,1CC,CCC,3C,2CC,1CCC,CCCC,4C,3CC,2CCC,1CCCC,5C,4CC,3CCC,5CC,4CCC
6,0.584,0.631,0.194,0.698,0.255,0.045,0.766,0.334,0.073,0.007,0.824,0.421,0.113,0.015,0.874,0.511,0.167,0.600,0.233
7,0.646,0.693,0.254,0.760,0.329,0.073,0.823,0.420,0.115,0.016,0.875,0.519,0.175,0.030,0.916,0.615,0.252,0.704,0.338
8,0.703,0.747,0.315,0.810,0.402,0.108,0.868,0.506,0.165,0.029,0.913,0.611,0.247,0.054,0.946,0.707,0.343,0.789,0.448
9,0.751,0.793,0.378,0.852,0.475,0.148,0.904,0.584,0.227,0.047,0.941,0.693,0.327,0.087,0.966,0.783,0.443,0.857,0.558
10,0.794,0.833,0.439,0.886,0.544,0.195,0.931,0.659,0.292,0.073,0.961,0.762,0.410,0.131,0.979,0.845,0.537,0.905,0.659
11,0.830,0.865,0.501,0.914,0.610,0.247,0.951,0.724,0.362,0.104,0.975,0.821,0.495,0.183,0.988,0.893,0.628,0.940,0.747
12,0.863,0.893,0.559,0.936,0.671,0.304,0.967,0.783,0.435,0.143,0.984,0.869,0.578,0.245,0.993,0.929,0.711,0.964,0.820
13,0.890,0.917,0.615,0.953,0.727,0.362,0.978,0.832,0.508,0.188,0.991,0.909,0.657,0.315,0.997,0.955,0.785,0.980,0.877
14,0.913,0.936,0.667,0.967,0.779,0.423,0.986,0.874,0.580,0.241,0.995,0.938,0.729,0.391,0.998,0.973,0.846,0.990,0.923
15,0.932,0.951,0.717,0.977,0.823,0.485,0.991,0.909,0.650,0.300,0.997,0.960,0.794,0.470,0.999,0.985,0.896,0.995,0.954
16,0.949,0.964,0.762,0.985,0.862,0.548,0.995,0.937,0.715,0.363,0.999,0.976,0.850,0.551,1.0,0.992,0.934,0.998,0.976
17,0.962,0.975,0.803,0.991,0.897,0.610,0.997,0.958,0.777,0.429,0.999,0.986,0.896,0.633,1.0,0.997,0.961,0.999,0.988
18,0.973,0.982,0.840,0.994,0.925,0.669,0.999,0.974,0.832,0.501,1.0,0.993,0.933,0.711,1.0,0.999,0.979,1.0,0.996
19,0.982,0.988,0.873,0.997,0.948,0.727,1.0,0.985,0.879,0.573,1.0,0.997,0.961,0.785,1.0,1.0,0.991,1.0,0.999
20,0.989,0.993,0.903,0.999,0.967,0.782,1.0,0.993,0.919,0.648,1.0,0.999,0.980,0.852,1.0,1.0,0.997,1.0,1.0
21,0.994,0.996,0.929,1.0,0.981,0.832,1.0,0.997,0.951,0.723,1.0,1.0,0.992,0.908,1.0,1.0,0.999,1.0,1.0
22,0.997,0.998,0.952,1.0,0.991,0.881,1.0,0.999,0.976,0.795,1.0,1.0,0.998,0.952,1.0,1.0,1.0,1.0,1.0
23,0.999,0.999,0.971,1.0,0.997,0.924,1.0,1.0,0.992,0.866,1.0,1.0,1.0,0.984,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,0.987,1.0,1.0,0.965,1.0,1.0,1.0,0.935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
